Majority.protein.IDs	P_4.RIC_1	P_4.RIC_2	P_4.RIC_3	P_4.RIC_4	P_4.RIC_5	P_4.RIC_6	P_4.RIC_7	P_4.RIC_8	P_4.RIC_9	P_4.RIC_10	P_4.RIC_11	P_6.RIC_1	P_6.RIC_2	P_6.RIC_3	P_6.RIC_4	P_6.RIC_5	P_6.RIC_6	P_6.RIC_7	P_6.RIC_8	P_6.RIC_9	P_6.RIC_10	P_6.RIC_11
A0A075B6H9	34847	87251	39394	40341	42727	51288	37853	72286	42067	46603	26273	32083	40876	50691	58515	32968	38083	37138	35395	51815	52347	35346
A0A075B6I9;P04211	101490	169950	61382	83598	86418	121090	83259	119260	61073	100760	84078	76736	83664	125190	65350	80610	75906	76086	87507	73270	109490	80759
A0A075B6K4	165430	135020	60691	118940	79944	137160	67529	103590	69481	100500	76743	162430	103080	130410	122660	90457	76299	91018	114080	124650	197430	118260
A0A075B6K2;A0A075B6K5;P80748	62152	79009	47033	40289	66940	58044	41581	69596	35667	30110	41328	11984	10365	16831	13097	15632	5153.7	7377.6	13434	19887	8440.7	14365
A0A075B6P5;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;P01614;P01615	43519	93775	23943	36852	49822	56989	22098	56844	35024	50070	20604	28531	47550	40188	39156	34402	27116	11973	24434	45933	57963	61653
A0A075B6S2;A2NJV5	28241	190180	37738	46157	32477	46253	29661	49076	27078	38169	40329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MRZ8;P04433	163420	293950	83990	180400	159330	238980	97656	276630	107030	153880	120690	116700	172270	143270	174210	110660	99182	68465	152400	183970	160400	115660
A0A0A0MS15	14593	27230	8480.3	10622	9670.8	20094	3972.3	12329	6252.8	10809	7063.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1U7	46689	301130	54506	109960	209340	392760	97364	128090	54323	182300	77064	18786	68393	44061	111050	20398	52816	21518	155890	60140	122740	54467
A0A0B4J1V0	15282	61095	19666	21946	26880	17978	9235.1	32764	18291	14295	16973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1X5	192280	571640	91786	183000	196540	379340	105390	384760	153440	175320	152230	175030	371020	260770	446600	333630	224900	178380	341550	423830	340150	242170
A0A0B4J1Y9	305520	986260	186930	319360	361600	402220	175830	540130	227610	298610	245610	135130	155460	177860	145310	161660	89637	67600	154970	132040	224900	152060
A0A0C4DH25	43511	123770	30074	76383	58068	85702	34063	95181	36451	48266	34333	49378	70347	47904	66927	51455	50188	39111	63909	57344	79513	41346
A0A0C4DH38	76527	154930	54690	74802	69717	103470	48327	80287	76658	76032	64588	60232	93768	96161	123500	76481	57944	64098	60929	105180	120970	78136
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	215440	459320	158740	228560	212990	294180	127240	279130	158430	215350	175500	64196	90772	76453	82954	99580	81893	63676	86345	91301	149330	83999
A0A075B6H7;A0A0C4DH55;P01624	65431	122680	37490	87231	55923	83220	32772	99549	50109	71425	46300	104990	151960	118680	141390	104640	100810	63780	135440	122020	157970	86783
A0A0J9YXX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19488	42763	36188	87267	43442	26928	20906	27361	52465	62500	27138
A1L4H1	4547.4	6658.5	4444.5	3562.9	6337.6	3500.5	5057.8	5552.6	6421.1	4765.2	6523.4	19979	16863	26394	23048	19587	22019	16665	26547	27871	20299	21129
B9A064;P0CG04	1422600	2761300	841430	1678200	1739900	2533700	917010	2315800	982260	1369300	1200700	2033300	2082100	2532900	2247700	1769200	1572600	1057500	2608000	2166900	2595800	2222400
O00151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25506	64542	112710	75024	21533	63989	23622	40435	28000	33306	39106
O00187	363700	544410	691130	503240	721270	486050	578610	511030	579980	508160	479370	611570	649680	666970	663190	539110	552310	598570	582630	551730	659490	603970
O00391	868800	1203000	1251200	1125500	1293200	1054100	1209400	1016900	977910	981100	1122300	2037100	2202200	2078400	2283800	1750100	1537000	2079800	1751400	2020900	1831400	1749300
O00533	424930	514100	619130	453770	517670	459570	582360	409340	403720	418510	447430	668330	732490	610360	639660	581000	472650	690240	488870	511470	512070	522240
O00592	66550	76310	109920	77699	124380	87781	132740	66946	76683	77567	74775	140890	168280	196730	185430	168960	129030	192710	121330	154190	168150	140120
O00602	97181	75666	82966	54920	70760	72659	44421	74041	72323	65968	64732	57954	97195	63331	76770	57028	108880	68838	71986	55800	98963	44868
O14786	108350	124240	145650	133270	138840	110280	146340	85714	94512	104170	125750	281540	192740	218030	202410	194050	188370	249510	188580	215470	174050	188580
O14791	2056500	1659100	1728500	1346000	2543000	1269800	1831100	2431900	4035400	1941700	1585400	940590	1478700	1398400	1747600	1976200	1528800	1683700	1096800	2029300	2002400	1348400
O43493	83759	90330	211540	81664	227290	82756	210730	81219	80171	100330	151700	30365	13819	36064	13488	26946	16259	23087	15664	23391	14633	25291
O43866	941980	2140000	999430	750560	1604900	1055000	705900	974470	6e+05	660810	855520	2231100	1154000	1418300	1645900	1514700	1234200	2029600	1281300	2172600	1813400	1494300
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	49124	54058	84255	48458	55182	48898	57061	51608	49892	47441	124870	278740	284400	298990	360590	333480	252290	316470	296670	324820	275410	127220
O75533	148100	273680	128310	207790	115510	304760	130040	216430	128300	211070	177830	348690	463010	363570	440280	323990	387040	248500	387200	382040	399830	282430
O75636	4849100	6859000	22963000	6092600	17056000	7280100	6943500	6040400	9546800	9374000	9908500	2164000	2822900	3197900	2601300	1796100	2424800	2458900	2039400	2548800	2593600	1965300
O75882	6788200	7859500	9513600	7412200	11528000	6937200	8184100	6879900	7412600	6794600	7826700	7502500	10029000	9559700	11137000	9311500	7081600	10613000	8361600	8393300	8467400	8639700
O95445	782630	956200	1519100	800520	1154500	936960	1516900	781920	895270	1087700	1171200	1324600	1813100	1494900	2050500	1614000	1382300	1911400	1144200	1538000	1598200	1703800
O95497	145090	164360	119130	197950	228620	148900	127910	214770	284340	180400	175870	232520	608230	191450	262690	284270	350020	143820	411940	310630	290870	247550
O95866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P00338	10994	17594	30861	16264	25695	14996	35861	19258	15997	13902	21163	96896	65934	91579	98211	92970	90354	68298	69676	62897	68390	68611
P00450	43585000	35363000	35753000	34094000	28630000	27585000	42598000	50627000	60096000	39241000	36668000	42352000	40477000	32233000	36703000	45605000	51206000	47314000	43389000	37521000	43769000	38554000
P00488	223680	325080	264380	204180	390270	213210	323700	215530	222410	338080	257910	103820	98599	136170	141920	121790	149840	196930	142990	150520	122870	166280
P00558	17093	17431	38513	22590	18295	14673	30104	25022	28378	17053	22356	24526	25228	51779	35262	33660	33345	25782	33452	27999	30941	31432
P00734	15477000	14544000	17470000	15947000	14639000	12093000	14130000	13276000	16524000	14117000	15421000	13474000	17472000	16560000	23248000	16820000	20270000	15873000	16793000	17699000	16872000	15188000
P00736	8959900	9569700	11620000	9300800	9664100	7931400	6960600	8175900	9896800	9355600	9165800	12737000	13787000	13054000	15357000	14034000	11526000	14556000	13787000	12771000	13235000	11993000
P00738	14576000	6345800	7169900	6959300	21060000	7475800	13578000	6662600	11745000	9804700	9304700	3319400	9376800	16376000	9280000	9902800	13086000	16613000	11935000	22715000	11909000	12045000
P00739	560240	282050	254350	204910	292460	314920	232160	294230	347110	263980	219680	179900	282650	231800	322770	191740	331310	210300	377000	224530	414580	225010
P00740	1064400	1024400	1277200	756730	1067900	879190	957150	890180	1322500	1185200	1076300	1578100	1203500	954580	1224600	1924700	1200300	1113300	1376800	1028400	1492100	1438400
P00742	2123600	1840000	1826700	1921000	1774700	1717000	1821500	1638800	2024100	1959700	1950200	2678000	3354900	2826800	3706100	3489000	2726600	3172400	2899600	3188700	3312400	2676100
P00746	283520	303170	442020	320230	487960	279840	566810	252600	317830	310670	421200	1093900	634260	690920	629800	650290	594730	600870	632800	801800	545890	620360
P00747	29162000	30181000	25662000	26425000	29071000	28701000	22885000	32629000	37388000	32892000	29803000	26545000	19043000	27759000	30316000	27585000	29072000	17690000	30774000	24124000	35871000	26237000
P00748	2552800	2015300	1848900	2633100	1741700	2495000	2231200	2842500	1896300	2730400	2213700	2029300	3739500	2115300	3924100	2293800	3066900	1859600	3489900	1853500	2959600	2590800
P00751	42427000	35432000	32201000	31113000	36489000	28892000	25225000	27066000	46261000	38245000	34908000	39904000	40702000	38010000	40317000	41624000	44298000	32828000	49184000	42756000	34080000	35986000
P00915	330210	562590	643270	613780	562640	567890	1238500	612430	1707600	354970	564020	578900	825050	641900	645680	372930	504650	357570	565240	635880	395200	682230
P00918	300980	507450	468710	470490	494260	489260	900550	465170	821420	339580	489720	227750	459410	416820	400250	233840	287820	271190	330320	336780	273010	304620
P01008	15886000	24803000	9128200	24179000	13633000	26178000	6666300	18015000	15887000	21139000	17793000	21809000	20015000	19078000	14413000	14744000	20082000	11109000	15492000	9626000	19792000	14346000
P01009	15319000	13127000	19234000	12575000	17196000	12219000	13658000	20009000	19320000	14475000	18826000	17594000	113410000	17274000	38823000	20570000	26755000	19661000	30430000	208410000	18992000	18183000
P01011	83744000	71462000	86496000	68241000	61901000	69156000	85931000	55385000	72718000	67188000	77943000	77689000	90405000	84329000	86399000	106300000	97904000	70601000	95208000	82861000	77143000	78583000
P01019	9269900	6606500	4543700	5704500	6319400	5498300	7508600	13832000	15909000	6510600	7463400	6566900	9131700	7178100	8391100	8705100	8452200	6105700	8162400	5732200	13598000	7915800
P01023	10236000	11756000	13589000	9645600	30497000	11437000	17424000	12306000	9736500	10723000	12108000	13823000	15461000	15264000	26057000	13427000	13935000	41879000	12900000	54117000	22675000	16161000
P01024	281780000	220500000	251130000	215800000	278370000	201800000	223480000	180600000	267710000	214110000	237010000	342100000	334760000	348250000	416960000	459310000	334260000	489440000	332870000	346200000	338470000	326380000
P01031	22542000	19327000	29198000	22249000	31501000	20377000	28550000	17701000	21689000	21334000	24571000	33416000	40074000	32931000	40951000	43249000	39925000	40721000	39677000	27453000	26448000	31681000
P01033	120950	138290	220970	129300	199670	115050	152050	129260	116410	113070	175520	148010	104270	149740	138430	126470	112120	165270	124720	135760	125700	122160
P01034	258780	290240	432770	283260	422110	275330	647740	266820	312360	283230	470870	769410	464630	452270	454450	406450	415140	492260	405460	717720	389540	554550
P01040	242000	342230	269990	252760	306880	262170	273300	277960	288010	298270	193180	138410	144890	179160	167100	145820	153890	143960	118220	167730	171500	89627
P01042	40423000	39930000	27926000	40465000	40455000	32034000	29772000	43576000	46991000	38921000	34677000	38816000	59286000	39549000	55504000	42756000	45344000	41610000	42911000	42196000	50215000	39221000
P01137	23113	37123	27978	26740	27646	29913	31978	31890	25606	32586	27442	26609	37621	40238	47816	43551	44883	43609	33863	41903	46276	31638
P01344	115010	142480	143550	161470	146730	130850	138650	121730	167440	180490	139400	98251	109450	104940	90027	91301	76696	93416	92508	74500	105890	91821
P01591	213240	645510	164990	202700	283350	310440	163820	305940	144300	174440	185490	190690	213870	247700	322440	222050	237700	265160	258110	225220	300950	230690
P01602	51114	88221	22150	26163	49985	38772	26012	85041	20788	30459	37101	31345	41681	35248	43706	24736	24557	27113	45528	43343	57914	32132
P01619	209820	546360	114880	317890	251980	377560	151690	428090	202320	239710	205020	190420	314970	272030	379390	259680	184070	126710	279760	279300	349060	229210
P01701	94929	270060	33838	88455	96810	126090	49352	115840	64691	74604	66322	93866	119690	187250	85754	210520	88982	22395	134350	145070	89706	94878
P01706;P01709	60192	146140	25867	42094	56815	74777	26069	77908	35105	54429	37584	49025	47739	64193	59622	54789	43259	32147	52281	43825	72650	52909
A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01	138230	723560	126770	218370	178950	335600	105800	222880	143720	131430	126110	200270	265120	243950	282850	236670	179580	158360	239010	297910	285850	230850
P01764	133160	234790	89784	104710	100510	113520	63361	221610	106010	104040	87518	150000	212130	246420	209670	214290	136870	165780	202700	204840	314210	146910
P01766	36624	122220	19010	42913	49217	53489	26783	72240	42690	60703	30808	31739	44184	30342	27620	23108	23466	21116	35316	28746	22525	22667
A0A0B4J1V1;P01762;P01763;P01780	236540	462220	185980	329090	238000	309490	194090	378830	162850	302190	150240	256490	324930	331500	384580	316320	244710	196460	333060	317230	429600	298180
P01782;P0DP04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P01834	2825300	6515200	2427700	3461400	2872900	4390700	2112400	4581500	2188800	2522800	2451400	2659900	2975900	2597800	3551100	2356400	2474300	1315600	3571800	3530300	4343100	2728000
P01857	4063400	14688000	3496900	11463000	5586100	11360000	4023300	12107000	6056300	7434100	6389200	4172500	8152900	8379000	5845900	4517600	5407000	2197500	6065600	5097600	5209000	5287600
P01859	1314200	3397400	632690	1752300	1721400	2072200	934090	4480800	1771500	2159800	1402700	770240	1828900	1288100	1412900	847440	951200	345940	1447200	846550	1076000	1070000
P01860	2036700	4035600	1247000	3650700	2208600	3120300	1801300	6069700	2321300	3915200	2056100	1834000	2688900	2440200	2586600	1598000	2304200	788090	1903900	2276500	2474900	1823400
P01861	248450	1513200	280390	175700	512900	467200	407560	672520	282550	278480	349280	397830	584530	181560	661720	217220	347740	172760	428160	856780	321410	348200
P01871	6798700	20245000	2858100	3743800	8653000	8296700	3684800	7896600	3479600	3309600	3874400	2921500	3984300	4165400	6981500	4812700	5476600	4889400	4537400	5269100	7223000	4640100
P01876	10228000	10966000	3384100	5172700	6042500	9652700	3189800	7878700	2336100	2710300	4272600	9249400	4976700	6309200	7663900	5931300	3742400	3351600	8538900	7535400	12538000	6158900
P01877	840700	734140	305370	405760	245750	464510	201610	435440	180860	230860	337910	290480	260410	328420	416290	404690	210420	238210	696190	450580	506360	354650
P02452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	153960	93335	139260	87645	62017	73979	113750	76502	114610	91946	92862
P02647	223750000	265200000	241610000	226140000	339800000	243300000	390510000	309210000	281200000	258490000	230180000	234280000	303910000	226440000	320410000	317060000	277010000	433910000	197060000	285800000	392680000	2.65e+08
P02649	6201900	7372800	24792000	7215400	13104000	6493400	13742000	6662500	9063700	9480400	11022000	9711400	8903700	8769600	10626000	11262000	13641000	15011000	10648000	20001000	10348000	10250000
P02652	47490000	71642000	39794000	45952000	46413000	63929000	93649000	72834000	58931000	53292000	48715000	33690000	90694000	39397000	55011000	40447000	30172000	49296000	20503000	61635000	48963000	41514000
P02654	4446100	5846200	16159000	4816400	8674600	6834100	11322000	5418700	6816200	7947900	8358800	16869000	13970000	10796000	17852000	15356000	14408000	12979000	10346000	29863000	21307000	14470000
P02655	2160000	1380500	6355400	1454900	4052100	2097700	3894000	1429100	2676400	2885100	3177500	2805700	2108000	1575000	3325100	3623600	2367000	2997000	3029600	8107600	3164600	3053900
P02656	7087200	4278700	26635000	5127100	14247000	5574800	16594000	5380500	13376000	9096100	10399000	12900000	9744100	7280000	13486000	15681000	12690000	19150000	11100000	36281000	18388000	12973000
P02671	2690400	2971700	4440300	2709000	3882400	2395900	5937400	2605300	2535600	2453000	3905300	2908800	1519400	2865600	1920100	3445100	1440200	1625000	1963500	1767700	1273500	3031500
P02675	86808	92882	177780	97014	198880	135430	208280	93861	99327	145860	213760	78949	45003	48908	50696	52528	53789	39063	71160	44963	42400	146130
P02679	169680	149570	343360	169170	345800	231620	384900	147230	123720	265730	373920	319340	107320	144600	121750	149890	124540	129810	237760	139960	98765	529300
P02730	48781	42661	50090	40100	53970	42443	48550	45133	73537	46453	32128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P02741	431870	271880	1464300	257500	341850	287860	359250	407330	1064000	417560	1117400	745520	336790	180990	339140	1093800	1448000	198690	1094400	281790	236670	826570
P02743	4398500	3867700	6777400	3992700	5304300	4727200	4560000	3875500	6598900	3979200	5843300	4849700	6577800	5099700	6334800	5687100	5222600	4125400	6022700	5895100	4262500	3546500
P02745	1062700	1763700	1834300	1615900	1587000	1250600	656400	1425000	1578300	1411000	1708500	1609000	1976800	1696100	2233500	2020200	1282700	1778500	1879300	1635100	1750600	1725800
P02746	3386000	4616400	4831200	4339800	4543200	3737900	2209100	3652000	4494100	4316900	4268500	4794100	5639500	4829000	6292500	5778200	3802900	4875200	5138500	4896500	5017300	4574900
P02747	1668100	2294300	2346300	2104600	2136300	1892100	1049200	1867500	2212500	2160100	2289200	3524800	4807500	3891100	5483100	4684200	2724200	3692300	3881200	3908100	3942700	4385500
P02748	5501100	4892400	7605300	5067300	5105200	4115900	4916300	3255900	4856200	6845400	5334400	10676000	6521400	6571800	6811100	8867700	9427600	6153600	8639600	7380200	5078700	6394400
P02749	11819000	12869000	14156000	11808000	16734000	11443000	12385000	9416900	12645000	13679000	14954000	33093000	26772000	33964000	33338000	29687000	22906000	24766000	23145000	32104000	26245000	27494000
P02750	2793400	2644200	2994200	2077000	1726300	1557500	3265600	1875000	2168300	2025700	2746300	4418000	2524100	2208800	2340800	3674700	3937000	2191800	2784300	2564500	2492000	3150400
P02751	22628000	29744000	30496000	29081000	47829000	17813000	34485000	17728000	37644000	37030000	23022000	25600000	14986000	36954000	44452000	20240000	16447000	14740000	26759000	21357000	20137000	29459000
P02753	4609300	4822000	6815000	6259700	10429000	4823200	6032400	4433000	7490400	4679400	8679100	31809000	29491000	23837000	26064000	25501000	17382000	24493000	23461000	27147000	24601000	30058000
P02760	5458900	5172000	10909000	5071300	11455000	4602900	8566000	4334800	4990600	4933800	7182100	13610000	8166700	13286000	6950000	13486000	7847200	14116000	7791700	8296500	9047300	10622000
P02763	1474000	851380	648210	949010	603650	743360	792250	830540	566800	1120100	1163900	1321400	912230	1038100	1143200	1010500	1096400	379700	1051700	1014800	1082700	1257900
P02765	25647000	37451000	14153000	30642000	25079000	22189000	13755000	24249000	24846000	20287000	23372000	33146000	37052000	26716000	35284000	25029000	31455000	24311000	30397000	32671000	33926000	25037000
P02766	2016400	1970000	1439100	2596500	2642200	1940300	2313900	1767600	2574900	2078900	2884800	3400400	4147900	3241900	3359300	2760600	2786000	2476000	3042900	6297700	3587000	3136700
P02774	62636000	80566000	43791000	69581000	41056000	58371000	42898000	63491000	62608000	59617000	58086000	90446000	92911000	69588000	95095000	70072000	77936000	51874000	82202000	81631000	82179000	72701000
P02775	5504400	6336400	5265300	5183700	7126000	4420300	3435600	5871100	4959800	5751500	5278500	3232500	6695700	7780900	7423300	6333000	7145900	7515800	6124000	5888200	8574400	5756400
P02776	1394000	1559500	1092700	1582600	1524400	1047200	1018200	1256800	1922300	1356800	1194600	626880	1191500	1389700	1539500	1133900	1404700	1807300	1533900	1038100	1694500	1105900
P02786	1054900	1225100	1227200	1020400	1471700	1109500	1284700	1099900	1048500	1181900	1190600	1071200	1493800	1205100	1455100	1493700	1219300	2616300	1290100	1390400	1341400	1164900
P02787	8352600	12524000	7598000	11345000	10440000	11625000	9562500	14051000	11651000	14193000	9886100	9655200	15642000	13517000	14033000	7912500	12150000	7722700	10673000	12614000	15320000	11641000
P02788	320410	406580	785300	349240	408100	296090	318020	389980	408760	299650	396380	319320	409320	402380	362170	271220	369510	281740	466740	264660	459450	265960
P02790	123650000	147830000	78054000	116550000	82451000	93253000	79757000	119360000	130910000	153170000	120780000	143200000	191820000	147460000	191450000	169890000	213750000	74257000	177030000	145120000	148200000	143720000
P03950	91822	107380	97619	101680	138410	51295	117620	70269	80282	88583	120980	184640	194590	143690	192830	156200	162250	213850	174830	208290	135150	153530
P03951	1761900	1311000	1930700	1764700	2018000	1627300	1633800	1620800	1850900	1966600	1971200	1908100	2309500	1711400	2584300	2668700	2264700	2439000	2220300	1902200	1902100	1894500
P03952	6930600	7566900	6584500	6878600	8520900	5726300	7655800	8381800	8108500	8215800	7290500	7653300	9931100	7764800	10281000	10265000	8819500	10279000	8926300	7582500	8496900	7948200
P04003	26275000	23070000	54775000	22588000	40305000	24685000	38631000	19276000	24185000	26775000	34022000	34202000	39882000	36797000	43554000	58017000	42210000	51231000	39523000	39904000	37461000	39784000
P04004	13536000	16119000	13310000	12826000	16538000	11801000	8966500	13261000	18249000	12390000	13540000	12369000	13421000	13443000	14986000	13118000	12014000	11434000	12632000	11067000	15134000	12650000
P04040	182510	209220	357260	243510	299740	199740	371730	249960	366060	187420	263580	193240	247400	247160	227250	190310	189570	161720	179480	190370	142440	217390
P04070	648800	683360	1102400	610960	960100	601130	789200	630360	676750	713300	776500	606900	768690	664700	911630	628560	938200	973740	778080	729650	786310	656550
P04075	122440	184330	198510	189430	218460	151630	245960	160690	176360	135080	200420	385490	213820	216110	229210	200600	228710	205590	187660	209160	187090	223720
P04114	96105000	137770000	330080000	100100000	222860000	119570000	127160000	126120000	170930000	149900000	144120000	180760000	185170000	140630000	188960000	177120000	164330000	310510000	183950000	177470000	197510000	153250000
P04180	587960	619870	882180	574440	768640	563970	711680	515250	595830	607180	586050	730930	921260	876270	1045300	1090800	856790	1239900	726440	1028000	1011700	778100
P04196	11197000	13936000	11257000	20321000	19134000	18645000	10442000	8997700	8928300	18747000	13779000	19751000	30286000	28991000	27321000	20767000	29320000	16876000	22036000	21498000	22657000	20021000
P04217	11621000	11356000	10540000	9903100	10964000	8566100	11479000	9363800	10821000	12180000	10676000	14292000	16985000	15344000	17568000	15650000	16915000	14671000	16319000	16130000	18150000	15035000
P04275	4079000	4417200	8467800	4080000	6390600	5089100	20223000	3775100	4270400	4490900	5600400	6461800	3348000	4748700	4383400	5716500	2988700	4862400	4537900	5141100	3037200	5836400
P04278	2576100	2149400	1730800	1210400	1262900	1032300	2694200	3665300	1075200	2197100	1312400	1023200	1389500	1139200	1122900	1419800	1273700	1836400	1174000	1271100	2308300	1199400
P04279;Q02383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7313.7	127650	3589.1	3046.7	5673.1	6258.8	6830.8	3636	6505.5	6232.6	7140.8
P04406	26460	32327	38831	39832	32346	28953	51310	42818	54616	25818	39256	245170	223460	344960	277860	267790	257810	180700	204630	259870	229260	175220
P01889;P01893;P04439;P13747;P17693	17098	32389	16855	15973	34682	13924	17097	24692	31314	22533	22521	18494	8046.8	6163.4	8723.6	8022.7	11185	5132.2	6769.5	9594.1	23230	19243
P05062	65244	70499	93015	107330	92910	69529	131040	72759	72264	70521	93981	205830	378060	359350	365920	1447600	241300	261110	243480	291450	240060	299780
